# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-04-17 02:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 20060626
# output
#   file = examples\bernoulli\outputs\output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.939616
# Diagonal elements of inverse mass matrix:
# 0.557715
-7.99605,1,0.939616,1,1,0,8.5049,0.471606
-7.17181,1,0.939616,2,3,0,7.78681,0.148138
-6.74975,0.876879,0.939616,2,3,0,8.24255,0.242699
-6.84216,0.975308,0.939616,1,3,0,6.86648,0.30666
-6.74802,0.994039,0.939616,2,3,0,6.87639,0.250235
-6.74802,0.926385,0.939616,1,3,0,6.99808,0.250235
-6.88271,0.966049,0.939616,1,3,0,6.90093,0.318283
-6.88271,0.864653,0.939616,1,1,0,7.18091,0.318283
-7.5741,0.9023,0.939616,2,3,0,7.57707,0.428075
-7.27525,1,0.939616,1,1,0,7.60621,0.390248
-6.79767,0.746106,0.939616,2,3,0,8.44511,0.290694
-6.90953,0.965654,0.939616,1,1,0,6.91323,0.325088
-6.92744,0.934036,0.939616,1,3,0,7.26553,0.180533
-8.21227,0.738758,0.939616,1,3,0,8.8062,0.491049
-8.21227,0.641235,0.939616,1,3,0,9.78077,0.491049
-6.96987,1,0.939616,2,3,0,7.78387,0.338703
-6.81423,1,0.939616,1,1,0,6.92549,0.297214
-6.93961,0.843043,0.939616,2,3,0,7.56572,0.332122
-6.93961,0.851646,0.939616,1,1,0,7.27046,0.332122
-8.029,0.685444,0.939616,1,1,0,8.0335,0.474674
-7.57126,1,0.939616,1,1,0,8.09007,0.42775
-7.10548,1,0.939616,1,1,0,7.47551,0.364113
-8.9562,0.514657,0.939616,1,1,0,8.97333,0.548353
-6.77215,1,0.939616,1,3,0,8.31074,0.278108
-6.76943,1,0.939616,1,1,0,6.77702,0.276442
-8.01724,0.733846,0.939616,1,3,0,8.0562,0.473583
-7.2198,1,0.939616,1,1,0,7.81409,0.382208
-6.78516,0.984669,0.939616,1,3,0,7.29063,0.217006
-6.76074,1,0.939616,1,1,0,6.77928,0.230426
-7.15843,0.707159,0.939616,2,3,0,8.7607,0.149534
-7.63284,0.921511,0.939616,1,1,0,7.63889,0.11224
-6.89152,1,0.939616,2,3,0,7.42825,0.320581
-6.78776,0.922798,0.939616,2,3,0,7.24647,0.286289
-6.92922,0.956948,0.939616,1,1,0,6.93022,0.329754
-6.8495,1,0.939616,1,1,0,6.9235,0.308914
-7.51011,0.515827,0.939616,2,3,0,9.62521,0.420603
-7.51026,0.644835,0.939616,1,3,0,9.1938,0.12007
-6.83491,1,0.939616,2,3,0,7.3308,0.30435
-6.75491,1,0.939616,1,3,0,6.81248,0.264863
-6.98193,0.900864,0.939616,2,3,0,7.29352,0.341212
-7.0185,0.892054,0.939616,1,3,0,7.52566,0.166344
-8.05587,0.870442,0.939616,1,3,0,8.10616,0.0907193
-8.05587,0.88938,0.939616,1,1,0,9.05668,0.0907193
-7.46321,1,0.939616,1,1,0,7.98653,0.123336
-8.32381,0.890694,0.939616,2,3,0,9.01603,0.0801376
-6.75631,0.941443,0.939616,1,3,0,8.47838,0.23414
-6.76278,0.995733,0.939616,2,3,0,6.78842,0.228947
-8.49202,0.7459,0.939616,2,3,0,8.61387,0.0743573
-8.51807,0.997369,0.939616,1,1,0,8.78124,0.0735131
-6.7594,1,0.939616,2,3,0,8.22789,0.231468
-6.77175,0.996793,0.939616,1,1,0,6.77284,0.223452
-6.96464,0.96255,0.939616,1,3,0,6.97218,0.1743
-6.7494,0.999392,0.939616,1,3,0,6.94688,0.24347
-6.7492,1,0.939616,1,1,0,6.74963,0.243953
-6.7492,0.313096,0.939616,1,3,0,11.226,0.243953
-6.74839,0.999476,0.939616,2,3,0,6.75254,0.253381
-6.76318,0.997464,0.939616,2,3,0,6.76608,0.22867
-6.84309,0.886903,0.939616,2,3,0,7.51705,0.198306
-7.49469,0.842416,0.939616,1,3,0,7.82516,0.41876
-7.67923,0.579055,0.939616,1,3,0,9.53783,0.109501
-6.90589,0.992766,0.939616,1,3,0,7.56101,0.184503
-6.76571,0.987011,0.939616,1,3,0,6.963,0.273987
-6.794,0.99161,0.939616,1,1,0,6.79569,0.289117
-7.03796,0.925878,0.939616,1,1,0,7.03809,0.352149
-6.75376,0.990161,0.939616,2,3,0,7.10559,0.236772
-6.79489,0.991592,0.939616,1,3,0,6.79562,0.213093
-6.84739,0.979357,0.939616,2,3,0,6.97017,0.197216
-7.08874,0.750385,0.939616,2,3,0,8.70762,0.157342
-7.46744,0.880936,0.939616,1,3,0,8.19741,0.415455
-7.46744,0.531853,0.939616,1,3,0,9.30557,0.415455
-6.80077,0.980718,0.939616,1,3,0,7.55604,0.210936
-7.07685,0.951953,0.939616,1,3,0,7.08312,0.158777
-7.49043,0.927397,0.939616,1,1,0,7.49516,0.121427
-7.82427,0.951919,0.939616,1,1,0,7.88174,0.101606
-6.91286,0.994258,0.939616,1,3,0,7.70277,0.183185
-7.46188,0.861136,0.939616,1,3,0,7.90938,0.414774
-6.92456,0.922203,0.939616,1,3,0,7.86293,0.181045
-6.92616,0.96595,0.939616,1,3,0,7.2483,0.329045
-8.23913,0.634071,0.939616,1,1,0,8.24024,0.493359
-6.92224,1,0.939616,1,1,0,7.78343,0.328129
-6.80734,1,0.939616,1,1,0,6.8917,0.294606
-7.28362,0.772398,0.939616,2,3,0,8.1304,0.137505
-6.75953,1,0.939616,1,3,0,7.24382,0.231362
-6.96671,0.958713,0.939616,2,3,0,7.06005,0.173975
-7.07507,0.938588,0.939616,1,3,0,7.51178,0.358865
-6.82388,0.967991,0.939616,1,3,0,7.24864,0.203541
-6.79962,0.964507,0.939616,2,3,0,7.07629,0.291512
-6.77373,1,0.939616,1,1,0,6.79567,0.279034
-6.98332,0.929558,0.939616,1,3,0,7.14111,0.171417
-7.06527,0.940061,0.939616,1,3,0,7.52284,0.357128
-6.87633,0.734271,0.939616,2,3,0,8.32065,0.316575
-6.87633,0.54118,0.939616,1,3,0,9.35637,0.316575
-7.72298,0.878808,0.939616,2,3,0,7.72378,0.444456
-8.56486,0.733625,0.939616,1,1,0,8.81342,0.519796
-6.98724,1,0.939616,1,1,0,8.01283,0.342296
-6.86432,1,0.939616,2,3,0,6.96749,0.313248
-6.77226,0.952638,0.939616,2,3,0,7.09255,0.278173
-6.78738,0.998497,0.939616,2,3,0,6.79201,0.286114
-7.00099,0.970647,0.939616,2,3,0,7.00104,0.345054
-8.32799,0.626541,0.939616,1,1,0,8.33752,0.500851
-7.23086,1,0.939616,2,3,0,8.08113,0.14231
-6.80506,1,0.939616,1,3,0,7.15588,0.209446
-7.92365,0.788613,0.939616,2,3,0,8.55768,0.464721
-7.28192,1,0.939616,1,1,0,7.80553,0.391189
-6.76896,0.995529,0.939616,1,3,0,7.29615,0.225019
-6.75839,0.996366,0.939616,2,3,0,6.79897,0.232298
-6.75839,0.871944,0.939616,1,3,0,7.31538,0.232298
-6.74802,0.987554,0.939616,2,3,0,6.83451,0.250319
-6.7492,0.999727,0.939616,2,3,0,6.74979,0.256089
-6.7492,0.598393,0.939616,1,3,0,8.34103,0.256089
-7.59098,0.665198,0.939616,2,3,0,8.72524,0.43
-7.28018,1,0.939616,1,1,0,7.6193,0.390944
-7.41505,0.699039,0.939616,1,3,0,8.69318,0.126852
-6.77292,0.913495,0.939616,2,3,0,8.25486,0.278561
-6.90468,0.849527,0.939616,2,3,0,7.5359,0.184735
-6.80647,0.879904,0.939616,2,3,0,8.06596,0.208969
-7.73323,0.84583,0.939616,2,3,0,8.17289,0.445538
-6.78206,1,0.939616,1,3,0,7.444,0.283519
-6.85372,0.965139,0.939616,2,3,0,6.97941,0.195663
-7.4157,0.859542,0.939616,1,3,0,7.75236,0.409015
-7.48724,0.974697,0.939616,1,1,0,7.70159,0.417862
-9.056,0.562975,0.939616,1,1,0,9.1793,0.55517
-9.03727,1,0.939616,1,1,0,9.86521,0.553903
-6.74807,1,0.939616,1,3,0,8.49609,0.25128
-6.98918,0.828842,0.939616,2,3,0,7.78043,0.170539
-7.06956,0.983736,0.939616,1,1,0,7.10545,0.159673
-6.80467,0.966143,0.939616,1,3,0,7.23874,0.293557
-7.00595,0.938175,0.939616,1,1,0,7.00775,0.346034
-8.8703,0.516235,0.939616,1,1,0,8.87364,0.542344
-8.67581,1,0.939616,1,1,0,9.45995,0.528213
-6.86807,0.995403,0.939616,1,3,0,8.79504,0.192324
-6.85808,1,0.939616,1,1,0,6.89037,0.194622
-7.03814,0.961053,0.939616,1,1,0,7.04013,0.16369
-6.77253,1,0.939616,2,3,0,6.97665,0.27833
-7.64523,0.850851,0.939616,2,3,0,7.68023,0.111497
-6.80846,0.969983,0.939616,2,3,0,7.97419,0.29504
-8.31426,0.736261,0.939616,2,3,0,8.32943,0.0804839
-8.72417,0.959154,0.939616,1,1,0,8.84583,0.0672617
-9.05761,0.97128,0.939616,1,1,0,9.2344,0.0585264
-12.5895,0.860355,0.939616,2,3,0,13.0973,0.0157837
-6.74902,0.915149,0.939616,2,7,0,11.4342,0.244431
-6.80343,0.985309,0.939616,1,3,0,6.81824,0.293063
-6.77158,1,0.939616,1,1,0,6.79663,0.277763
-6.74857,1,0.939616,2,3,0,6.7719,0.245866
-7.15557,0.901918,0.939616,1,3,0,7.25902,0.149836
-6.78058,0.966805,0.939616,1,3,0,7.29001,0.282764
-7.23587,0.766611,0.939616,2,3,0,8.14838,0.141838
-7.0704,1,0.939616,2,3,0,7.23764,0.159569
